Year,Sex,Age,Risk,Value
0,0,0,0,193397.29885084997
0,0,0,1,44941.86298678518
0,0,0,2,3516.8329882822723
0,0,0,3,0.0
0,0,0,4,2.9263889298407924e-09
0,0,0,5,0.005174079667358224
0,0,0,6,0.0
0,0,0,7,0.0
0,0,1,0,150399.18395962368
0,0,1,1,75485.52672387482
0,0,1,2,9029.999230166553
0,0,1,3,297.21740825898365
0,0,1,4,0.00018421194097942257
0,0,1,5,2.0724938640278805
0,0,1,6,0.0
0,0,1,7,0.0
0,0,2,0,117661.75123909787
0,0,2,1,95839.91721986033
0,0,2,2,15588.775995272734
0,0,2,3,1037.5269006105445
0,0,2,4,0.027536905108525703
0,0,2,5,30.00110825343568
0,0,2,6,0.0
0,0,2,7,0.0
0,0,3,0,90959.54377847475
0,0,3,1,107086.32843007057
0,0,3,2,22221.10745505095
0,0,3,3,2240.9093133737993
0,0,3,4,0.4853112997578939
0,0,3,5,127.62571173018362
0,0,3,6,0.0
0,0,3,7,0.0
0,0,4,0,70465.36392845435
0,0,4,1,112623.96341201082
0,0,4,2,28650.8739184812
0,0,4,3,3887.8934300719447
0,0,4,4,2.931836649576934
0,0,4,5,299.9734743321254
0,0,4,6,0.0
0,0,4,7,0.0
0,0,5,0,54743.48072710415
0,0,5,1,114240.68957362439
0,0,5,2,34676.00533374664
0,0,5,3,5930.515684910312
0,0,5,4,9.548107396716563
0,0,5,5,508.7605732178183
0,0,5,6,0.0
0,0,5,7,0.0
0,0,6,0,42958.06502443865
0,0,6,1,113996.3867495689
0,0,6,2,40483.450009362045
0,0,6,3,8369.30711457277
0,0,6,4,21.135924657893142
0,0,6,5,708.655177399764
0,0,6,6,0.0
0,0,6,7,0.0
0,0,7,0,35364.06464674066
0,0,7,1,117092.07847036651
0,0,7,2,47932.50613235564
0,0,7,3,11633.872347194892
0,0,7,4,36.232166790168264
0,0,7,5,869.2462365521453
0,0,7,6,0.0
0,0,7,7,0.0
0,0,8,0,27227.681902007636
0,0,8,1,110918.75516447978
0,0,8,2,51733.510480559635
0,0,8,3,14426.964042600914
0,0,8,4,52.03089864905375
0,0,8,5,978.057511702998
0,0,8,6,0.0
0,0,8,7,0.0
0,0,9,0,21080.087238983502
0,0,9,1,104522.36669339305
0,0,9,2,55035.14701202002
0,0,9,3,17340.094384506505
0,0,9,4,65.80185645752054
0,0,9,5,1035.5028146394002
0,0,9,6,0.0
0,0,9,7,0.0
0,0,10,0,16213.933129529998
0,0,10,1,97029.66288704013
0,0,10,2,57247.21421591788
0,0,10,3,20105.500275960716
0,0,10,4,75.76605808707778
0,0,10,5,1048.923433464188
0,0,10,6,0.0
0,0,10,7,0.0
0,0,11,0,12394.032461477587
0,0,11,1,88918.66654589369
0,0,11,2,58425.5715882241
0,0,11,3,22619.257976737375
0,0,11,4,81.27286965087573
0,0,11,5,1028.1985580163646
0,0,11,6,0.0
0,0,11,7,0.0
0,0,12,0,9413.068562753078
0,0,12,1,80523.92405685788
0,0,12,2,58626.93552408179
0,0,12,3,24786.354275282436
0,0,12,4,82.55614574070431
0,0,12,5,983.1614352841107
0,0,12,6,0.0
0,0,12,7,0.0
0,0,13,0,7107.766906379443
0,0,13,1,72181.12982754242
0,0,13,2,57986.73764805032
0,0,13,3,26557.644068010384
0,0,13,4,80.36535660911134
0,0,13,5,922.356193408323
0,0,13,6,0.0
0,0,13,7,0.0
0,0,14,0,5343.766992785159
0,0,14,1,64188.59433327873
0,0,14,2,56697.54085125688
0,0,14,3,27933.835703783214
0,0,14,4,75.64339460256397
0,0,14,5,852.618724293463
0,0,14,6,0.0
0,0,14,7,0.0
0,0,15,0,4015.209431640372
0,0,15,1,56876.148690215006
0,0,15,2,55074.37152896708
0,0,15,3,29009.863004845633
0,0,15,4,69.30989464283635
0,0,15,5,779.0974496890864
0,0,15,6,0.0
0,0,15,7,0.0
0,0,16,0,3031.10131461991
0,0,16,1,50505.77885369398
0,0,16,2,53479.088741313164
0,0,16,3,29952.41309020406
0,0,16,4,62.14583715213008
0,0,16,5,705.4721630167718
0,0,16,6,0.0
0,0,16,7,0.0
0,0,17,0,2304.180197967015
0,0,17,1,45067.02388854892
0,0,17,2,52071.61994389536
0,0,17,3,30858.189170610738
0,0,17,4,54.751981686564264
0,0,17,5,634.2348172914076
0,0,17,6,0.0
0,0,17,7,0.0
0,0,18,0,1765.4244072465237
0,0,18,1,40459.646102521496
0,0,18,2,50919.23824296078
0,0,18,3,31787.17567144491
0,0,18,4,47.55199755444682
0,0,18,5,566.9635782718626
0,0,18,6,0.0
0,0,18,7,0.0
0,0,19,0,1365.0350032614533
0,0,19,1,36601.20980148045
0,0,19,2,50096.24338259572
0,0,19,3,32812.13343048939
0,0,19,4,40.81774515576956
0,0,19,5,504.5606370172398
0,0,19,6,0.0
0,0,19,7,0.0
0,0,20,0,1060.5928672454172
0,0,20,1,33229.84190210374
0,0,20,2,49398.84281604558
0,0,20,3,33823.575115372434
0,0,20,4,34.70204582371687
0,0,20,5,447.44525340912924
0,0,20,6,0.0
0,0,20,7,0.0
0,0,21,0,822.8316235295832
0,0,21,1,30092.103543472866
0,0,21,2,48532.52822696883
0,0,21,3,34622.5621987094
0,0,21,4,29.270707929285404
0,0,21,5,395.70369939003626
0,0,21,6,0.0
0,0,21,7,0.0
0,0,22,0,641.9728108519624
0,0,22,1,27379.27942838391
0,0,22,2,47860.96132874196
0,0,22,3,35465.05447661926
0,0,22,4,24.52996974494895
0,0,22,5,349.2019856579515
0,0,22,6,0.0
0,0,22,7,0.0
0,0,23,0,502.1960741769627
0,0,23,1,24957.652121747
0,0,23,2,47248.75077762604
0,0,23,3,36264.28449521938
0,0,23,4,20.448163191786517
0,0,23,5,307.66836803883143
0,0,23,6,0.0
0,0,23,7,0.0
0,0,24,0,392.53090219396427
0,0,24,1,22716.46417500856
0,0,24,2,46543.13663836189
0,0,24,3,36905.14420542991
0,0,24,4,16.971803925772452
0,0,24,5,270.75227507988654
0,0,24,6,0.0
0,0,24,7,0.0
0,0,25,0,305.9461970182279
0,0,25,1,20606.394713453523
0,0,25,2,45665.919683549706
0,0,25,3,37318.637115903526
0,0,25,4,14.03693166093971
0,0,25,5,238.06535841406728
0,0,25,6,0.0
0,0,25,7,0.0
0,0,26,0,237.95796506292075
0,0,26,1,18643.876164072295
0,0,26,2,44667.11799860794
0,0,26,3,37537.261885232736
0,0,26,4,11.576697706610215
0,0,26,5,209.20928931748813
0,0,26,6,0.0
0,0,26,7,0.0
0,0,27,0,184.76391553276324
0,0,27,1,16832.599311584167
0,0,27,2,43579.66307930776
0,0,27,3,37584.653633663984
0,0,27,4,9.52614454648383
0,0,27,5,183.79391536483405
0,0,27,6,0.0
0,0,27,7,0.0
0,0,28,0,143.31753443133783
0,0,28,1,15176.657303213708
0,0,28,2,42446.05096365607
0,0,28,3,37496.70069289355
0,0,28,4,7.824976012745815
0,0,28,5,161.4485297925731
0,0,28,6,0.0
0,0,28,7,0.0
0,0,29,0,111.10991936947522
0,0,29,1,13672.220293938417
0,0,29,2,41295.2368342534
0,0,29,3,37301.18569548309
0,0,29,4,6.418947608374253
0,0,29,5,141.82830934722244
0,0,29,6,0.0
0,0,29,7,0.0
0,0,30,0,86.04311732324818
0,0,30,1,12299.778411235056
0,0,30,2,40109.69353749933
0,0,30,3,36985.60715293727
0,0,30,4,5.260349453819445
0,0,30,5,124.61743155125016
0,0,30,6,0.0
0,0,30,7,0.0
0,0,31,0,66.52484748216122
0,0,31,1,11044.896084739652
0,0,31,2,38878.84438076624
0,0,31,3,36542.896797828485
0,0,31,4,4.30792284502325
0,0,31,5,109.52996633840519
0,0,31,6,0.0
0,0,31,7,0.0
0,0,32,0,51.386344270356716
0,0,32,1,9906.892469563336
0,0,32,2,37636.72737998806
0,0,32,3,36008.15803303496
0,0,32,4,3.5264481482163283
0,0,32,5,96.30932499503193
0,0,32,6,0.0
0,0,32,7,0.0
0,0,33,0,39.698292031670945
0,0,33,1,8885.884418433385
0,0,33,2,36427.80569356669
0,0,33,3,35428.9986131843
0,0,33,4,2.8861642161910255
0,0,33,5,84.72681856772203
0,0,33,6,0.0
0,0,33,7,0.0
0,0,34,0,30.693622137609903
0,0,34,1,7975.415893020196
0,0,34,2,35276.79885141173
0,0,34,3,34836.14980093589
0,0,34,4,2.362123283342679
0,0,34,5,74.57970921118981
0,0,34,6,0.0
0,0,34,7,0.0
0,0,35,0,23.747093695870433
0,0,35,1,7162.061062948966
0,0,35,2,34176.809841870076
0,0,35,3,34229.759439806694
0,0,35,4,1.9335457276125834
0,0,35,5,65.68901595074448
0,0,35,6,0.0
0,0,35,7,0.0
0,0,36,0,18.380957490154422
0,0,36,1,6433.8592835137315
0,0,36,2,33119.53754170381
0,0,36,3,33607.74175627542
0,0,36,4,1.5832120161744416
0,0,36,5,57.897249000668786
0,0,36,6,0.0
0,0,36,7,0.0
0,0,37,0,14.240597129491926
0,0,37,1,5784.521581156102
0,0,37,2,32119.374264507176
0,0,37,3,32990.50046111768
0,0,37,4,1.296911165798332
0,0,37,5,51.06618492372468
0,0,37,6,0.0
0,0,37,7,0.0
0,0,38,0,11.031138816395913
0,0,38,1,5199.492598696666
0,0,38,2,31140.133000150927
0,0,38,3,32346.205557221758
0,0,38,4,1.0629534949971369
0,0,38,5,45.074751619227385
0,0,38,6,0.0
0,0,38,7,0.0
0,0,39,0,8.541383819111863
0,0,39,1,4671.33007111164
0,0,39,2,30174.306386472465
