Year,Value
0,0.0
1,22074.034206735338
2,46633.58942360957
3,52874.63470763881
4,59210.087948162436
5,66048.86978658153
6,72706.41565195017
7,79620.5611242498
8,87557.1619227443
9,96306.8729461434
10,105038.5116044501
11,113289.34567652339
12,124461.19440100659
13,134367.48924633296
14,145079.53207159913
15,155332.27488775636
16,166970.179677384
17,173730.73705730392
18,176783.19077521074
19,178108.82185093762
20,182520.43952584718
21,186035.1910469069
22,185014.2234003658
23,186366.45473724083
24,186748.54507542087
25,192709.23639178605
26,187794.5733740975
27,176721.29532250544
28,172323.11686719602
29,169377.73792530943
30,161101.88305638195
31,160363.06285265324
32,158019.46870411752
33,160849.3216617812
34,167324.218713554
35,175735.65088886835
36,179560.12900622422
37,182573.94025908975
38,191895.00924070744
39,181884.36076379404
40,181005.27330035064
41,171050.41322120978
42,175349.22203897432
43,171337.5565381075
44,166551.76267733384
45,161433.33953679632
46,155102.29122538478
47,156007.00881656818
48,158911.17981144806
49,156276.7678378404
50,145911.96469027354
51,138180.03632047647
52,129467.7333199259
