Year,Sex,Value
0,0,446555.73576425953
0,1,464417.9651948298
1,0,442095.200592151
1,1,459779.00861583697
2,0,449529.336870257
2,1,467510.5103450672
3,0,456925.87015914154
3,1,475202.90496550716
4,0,460770.6663563116
4,1,479201.49301056395
5,0,465127.2072997456
5,1,483732.29559173534
6,0,466923.17650063697
6,1,486067.02673716296
7,0,467821.0720558078
7,1,487001.7360100958
8,0,471754.31945751817
8,1,490624.4922358189
9,0,479923.5258435428
9,1,499600.39040312805
10,0,487941.1287725221
10,1,507946.7150521955
11,0,493591.08510679513
11,1,513828.31959617365
12,0,512361.87987325154
12,1,533368.7169480547
13,0,528468.4167942932
13,1,550135.621882859
14,0,552370.7565250613
14,1,574465.5867860636
15,0,575387.4381269773
15,1,598402.9356520562
16,0,605382.1706079383
16,1,628992.0752616479
17,0,620690.220432692
17,1,644897.1390295669
18,0,617101.985354398
18,1,641168.9627832196
19,0,607489.1888094356
19,1,630573.7779841942
20,0,585123.0700804761
20,1,607357.7467435342
21,0,580423.731754782
21,1,603060.2572932184
22,0,564113.889294272
22,1,585550.2170874544
23,0,556035.8447042379
23,1,577721.2426477032
24,0,548901.6233599125
24,1,570308.7866709491
25,0,545534.841617495
25,1,566810.7004405775
26,0,528348.4233678805
26,1,548954.0118792278
27,0,495408.75402668584
27,1,514729.69543372653
28,0,483123.2644713235
28,1,502448.1950501764
29,0,477073.1664026381
29,1,496156.0930587435
30,0,457241.84171701205
30,1,475988.75722740946
31,0,455183.259232679
31,1,473845.7728612187
32,0,451920.1820644748
32,1,470900.82971118274
33,0,467886.06852988113
33,1,487537.28340813617
34,0,492267.8802853641
34,1,513435.39913763467
35,0,514351.5266690929
35,1,536468.6423158637
36,0,534789.9751317962
36,1,557785.9440624632
37,0,546538.1605160284
37,1,570039.3014182175
38,0,589720.7433005125
38,1,615078.7352624343
39,0,562968.4083853054
39,1,587739.018354259
40,0,561577.9836700244
40,1,586287.4149515056
41,0,569992.5471577287
41,1,594502.2266855108
42,0,580076.7451387949
42,1,605020.0451797629
43,0,583236.4068793111
43,1,608315.5723751212
44,0,588287.9155451546
44,1,612996.0079980511
45,0,578160.7134448626
45,1,602443.4634095469
46,0,562550.0358670723
46,1,586177.1373734894
47,0,571663.8765868503
47,1,595102.0955269111
48,0,591943.8884150513
48,1,616213.5878400683
49,0,603172.4120776852
49,1,627902.4809728701
50,0,582900.4588571134
50,1,606799.3776702549
51,0,574548.4593407365
51,1,597530.397714366
52,0,564304.1066504483
52,1,586876.2709164663
