Year,Gender,AgeMin,AgeMax,Value,UseDataInFit
1997,Men,0,0,,FALSE
1997,Women,0,0,,FALSE
1998,Men,0,0,,FALSE
1998,Women,0,0,,FALSE
1999,Men,0,0,,FALSE
1999,Women,0,0,,FALSE
2000,Men,0,0,,FALSE
2000,Women,0,0,,FALSE
2001,Men,0,0,,FALSE
2001,Women,0,0,,FALSE
2002,Men,0,0,,FALSE
2002,Women,0,0,,FALSE
2003,Men,0,0,,FALSE
2003,Women,0,0,,FALSE
2004,Men,0,0,,FALSE
2004,Women,0,0,,FALSE
2005,Men,0,0,,FALSE
2005,Women,0,0,,FALSE
2006,Men,0,0,,FALSE
2006,Women,0,0,,FALSE
2007,Men,0,0,,FALSE
2007,Women,0,0,,FALSE
2008,Men,0,0,,FALSE
2008,Women,0,0,,FALSE
2009,Men,0,0,,FALSE
2009,Women,0,0,,FALSE
2010,Men,0,0,,FALSE
2010,Women,0,0,,FALSE
2011,Men,0,0,,FALSE
2011,Women,0,0,,FALSE
2012,Men,0,0,,FALSE
2012,Women,0,0,,FALSE
2013,Men,0,0,,FALSE
2013,Women,0,0,,FALSE
2014,Men,0,0,,FALSE
2014,Women,0,0,,FALSE
2015,Men,0,0,,FALSE
2015,Women,0,0,,FALSE
2016,Men,0,0,,FALSE
2016,Women,0,0,,FALSE
2017,Men,0,0,,FALSE
2017,Women,0,0,,FALSE
2018,Men,0,0,,FALSE
2018,Women,0,0,,FALSE
1997,Men,1,4,,FALSE
1997,Women,1,4,,FALSE
1998,Men,1,4,,FALSE
1998,Women,1,4,,FALSE
1999,Men,1,4,,FALSE
1999,Women,1,4,,FALSE
2000,Men,1,4,,FALSE
2000,Women,1,4,,FALSE
2001,Men,1,4,,FALSE
2001,Women,1,4,,FALSE
2002,Men,1,4,,FALSE
2002,Women,1,4,,FALSE
2003,Men,1,4,,FALSE
2003,Women,1,4,,FALSE
2004,Men,1,4,,FALSE
2004,Women,1,4,,FALSE
2005,Men,1,4,,FALSE
2005,Women,1,4,,FALSE
2006,Men,1,4,,FALSE
2006,Women,1,4,,FALSE
2007,Men,1,4,,FALSE
2007,Women,1,4,,FALSE
2008,Men,1,4,,FALSE
2008,Women,1,4,,FALSE
2009,Men,1,4,,FALSE
2009,Women,1,4,,FALSE
2010,Men,1,4,,FALSE
2010,Women,1,4,,FALSE
2011,Men,1,4,,FALSE
2011,Women,1,4,,FALSE
2012,Men,1,4,,FALSE
2012,Women,1,4,,FALSE
2013,Men,1,4,,FALSE
2013,Women,1,4,,FALSE
2014,Men,1,4,,FALSE
2014,Women,1,4,,FALSE
2015,Men,1,4,,FALSE
2015,Women,1,4,,FALSE
2016,Men,1,4,,FALSE
2016,Women,1,4,,FALSE
2017,Men,1,4,,FALSE
2017,Women,1,4,,FALSE
2018,Men,1,4,,FALSE
2018,Women,1,4,,FALSE
1997,Men,10,14,,FALSE
1997,Women,10,14,,FALSE
1998,Men,10,14,,FALSE
1998,Women,10,14,,FALSE
1999,Men,10,14,,FALSE
1999,Women,10,14,,FALSE
2000,Men,10,14,,FALSE
2000,Women,10,14,,FALSE
2001,Men,10,14,,FALSE
2001,Women,10,14,,FALSE
2002,Men,10,14,,FALSE
2002,Women,10,14,,FALSE
2003,Men,10,14,,FALSE
2003,Women,10,14,,FALSE
2004,Men,10,14,,FALSE
2004,Women,10,14,,FALSE
2005,Men,10,14,,FALSE
2005,Women,10,14,,FALSE
2006,Men,10,14,,FALSE
2006,Women,10,14,,FALSE
2007,Men,10,14,,FALSE
2007,Women,10,14,,FALSE
2008,Men,10,14,,FALSE
2008,Women,10,14,,FALSE
2009,Men,10,14,,FALSE
2009,Women,10,14,,FALSE
2010,Men,10,14,,FALSE
2010,Women,10,14,,FALSE
2011,Men,10,14,,FALSE
2011,Women,10,14,,FALSE
2012,Men,10,14,,FALSE
2012,Women,10,14,,FALSE
2013,Men,10,14,,FALSE
2013,Women,10,14,,FALSE
2014,Men,10,14,,FALSE
2014,Women,10,14,,FALSE
2015,Men,10,14,,FALSE
2015,Women,10,14,,FALSE
2016,Men,10,14,,FALSE
2016,Women,10,14,,FALSE
2017,Men,10,14,,FALSE
2017,Women,10,14,,FALSE
2018,Men,10,14,,FALSE
2018,Women,10,14,,FALSE
1997,Men,15,19,2869.27844190264,TRUE
1997,Women,15,19,1977.28239073801,TRUE
1998,Men,15,19,3200.69502530758,TRUE
1998,Women,15,19,2376.66151841845,TRUE
1999,Men,15,19,3455.87237793673,TRUE
1999,Women,15,19,2776.68786383235,TRUE
2000,Men,15,19,3492.18882609075,TRUE
2000,Women,15,19,2960.27488767959,TRUE
2001,Men,15,19,3690.3742862654,TRUE
2001,Women,15,19,3386.83064256265,TRUE
2002,Men,15,19,3984.76310561908,TRUE
2002,Women,15,19,3788.60792131821,TRUE
2003,Men,15,19,4156.39660485426,TRUE
2003,Women,15,19,4106.2580860678,TRUE
2004,Men,15,19,4086.80916094893,TRUE
2004,Women,15,19,4221.5360582654,TRUE
2005,Men,15,19,4166.90273208788,TRUE
2005,Women,15,19,4158.49667384164,TRUE
2006,Men,15,19,4211.04611427651,TRUE
2006,Women,15,19,4192.28966846966,TRUE
2007,Men,15,19,4235.25619606599,TRUE
2007,Women,15,19,3829.16812632024,TRUE
2008,Men,15,19,4215.74791901443,TRUE
2008,Women,15,19,3760.2392890194,TRUE
2009,Men,15,19,4060.34468017923,TRUE
2009,Women,15,19,3769.02982489688,TRUE
2010,Men,15,19,3834.03465138733,TRUE
2010,Women,15,19,3610.85199074298,TRUE
2011,Men,15,19,3614.5428497673,TRUE
2011,Women,15,19,3261.36264967011,TRUE
2012,Men,15,19,3592.69792833902,TRUE
2012,Women,15,19,3129.44491310237,TRUE
2013,Men,15,19,3695.47091337959,TRUE
2013,Women,15,19,2832.1924496631,TRUE
2014,Men,15,19,3661.16370991545,TRUE
2014,Women,15,19,2869.16291175279,TRUE
2015,Men,15,19,3620.03548186007,TRUE
2015,Women,15,19,2643.01865771371,TRUE
2016,Men,15,19,3621.63012152286,TRUE
2016,Women,15,19,2605.60922642581,TRUE
2017,Men,15,19,3473.15491425277,TRUE
2017,Women,15,19,2530.7788374659,TRUE
2018,Men,15,19,3457.41789758675,TRUE
2018,Women,15,19,2628.823840962,TRUE
1997,Men,20,24,6321.00467235718,TRUE
1997,Women,20,24,4448.43516561511,TRUE
1998,Men,20,24,6955.06860256725,TRUE
1998,Women,20,24,5765.19012403047,TRUE
1999,Men,20,24,6937.71347835427,TRUE
1999,Women,20,24,7024.69222646229,TRUE
2000,Men,20,24,7265.58779438276,TRUE
2000,Women,20,24,8539.01425167498,TRUE
2001,Men,20,24,7468.79829153255,TRUE
2001,Women,20,24,9641.2017435307,TRUE
2002,Men,20,24,8179.10277552559,TRUE
2002,Women,20,24,11253.9016162529,TRUE
2003,Men,20,24,9012.38477247112,TRUE
2003,Women,20,24,13011.7233591512,TRUE
2004,Men,20,24,9186.83798525864,TRUE
2004,Women,20,24,14055.6365052858,TRUE
2005,Men,20,24,9295.27090233578,TRUE
2005,Women,20,24,13871.7845299377,TRUE
2006,Men,20,24,9601.30469702963,TRUE
2006,Women,20,24,13790.1817723323,TRUE
2007,Men,20,24,9637.5371623888,TRUE
2007,Women,20,24,12793.9451547274,TRUE
2008,Men,20,24,9454.87922190292,TRUE
2008,Women,20,24,11996.627279773,TRUE
2009,Men,20,24,8814.27334450344,TRUE
2009,Women,20,24,10971.4027989917,TRUE
2010,Men,20,24,8316.65494614764,TRUE
2010,Women,20,24,9920.3822792534,TRUE
2011,Men,20,24,7669.19790155683,TRUE
2011,Women,20,24,8356.96098582473,TRUE
2012,Men,20,24,7513.54820632027,TRUE
2012,Women,20,24,7342.82816830919,TRUE
2013,Men,20,24,7481.51727959933,TRUE
2013,Women,20,24,6618.28380801238,TRUE
2014,Men,20,24,7521.25240119399,TRUE
2014,Women,20,24,5841.94384816692,TRUE
2015,Men,20,24,7613.68134474267,TRUE
2015,Women,20,24,5460.78631267562,TRUE
2016,Men,20,24,7634.00401072819,TRUE
2016,Women,20,24,5176.47787930713,TRUE
2017,Men,20,24,7453.78950341817,TRUE
2017,Women,20,24,4676.2867679965,TRUE
2018,Men,20,24,7119.88020533021,TRUE
2018,Women,20,24,4479.24231646551,TRUE
1997,Men,25,29,8613.59162024587,TRUE
1997,Women,25,29,6141.90701755136,TRUE
1998,Men,25,29,10543.2214609036,TRUE
1998,Women,25,29,8324.7920915796,TRUE
1999,Men,25,29,11380.978445202,TRUE
1999,Women,25,29,10828.7712839211,TRUE
2000,Men,25,29,12594.8729536241,TRUE
2000,Women,25,29,13759.3396688272,TRUE
2001,Men,25,29,14369.7346804728,TRUE
2001,Women,25,29,17226.7044995794,TRUE
2002,Men,25,29,16237.4949467178,TRUE
2002,Women,25,29,21269.473279214,TRUE
2003,Men,25,29,17802.1375277089,TRUE
2003,Women,25,29,24381.9848006605,TRUE
2004,Men,25,29,17921.4110993559,TRUE
2004,Women,25,29,26026.7876181484,TRUE
2005,Men,25,29,17468.5478845243,TRUE
2005,Women,25,29,25746.2853348417,TRUE
2006,Men,25,29,17115.5429289911,TRUE
2006,Women,25,29,24653.8538311016,TRUE
2007,Men,25,29,16676.1698412927,TRUE
2007,Women,25,29,23190.3578006708,TRUE
2008,Men,25,29,16625.2826547938,TRUE
2008,Women,25,29,22182.4638189125,TRUE
2009,Men,25,29,15989.3868744923,TRUE
2009,Women,25,29,20404.328058885,TRUE
2010,Men,25,29,14860.0892546232,TRUE
2010,Women,25,29,18350.4924889922,TRUE
2011,Men,25,29,13640.3278787893,TRUE
