Year,Gender,AgeMin,AgeMax,Value,UseDataInFit
2016,Men,0,4,13549.16166,FALSE
2016,Men,5,9,1351.647346,FALSE
2016,Men,10,14,996.6050297,FALSE
2016,Men,15,19,1538.791403,TRUE
2016,Men,20,24,2150.705784,TRUE
2016,Men,25,29,2540.27164,TRUE
2016,Men,30,34,3128.875379,TRUE
2016,Men,35,39,3642.091758,TRUE
2016,Men,40,44,3297.364359,TRUE
2016,Men,45,49,2749.402898,FALSE
2016,Men,50,54,2592.931479,FALSE
2016,Men,55,59,2693.094952,FALSE
2016,Men,60,64,2889.637849,FALSE
2016,Men,65,69,3249.204014,FALSE
2016,Men,70,74,3532.397569,FALSE
2016,Men,75,79,3179.130004,FALSE
2016,Men,80,100,5890.045187,TRUE
2016,Women,0,4,11704.70369,FALSE
2016,Women,5,9,1164.943886,FALSE
2016,Women,10,14,831.2950086,FALSE
2016,Women,15,19,1122.010057,TRUE
2016,Women,20,24,1510.450308,TRUE
2016,Women,25,29,1971.790624,TRUE
2016,Women,30,34,2362.063241,TRUE
2016,Women,35,39,2299.91948,TRUE
2016,Women,40,44,1824.181213,TRUE
2016,Women,45,49,1794.736404,FALSE
2016,Women,50,54,2031.74794,FALSE
2016,Women,55,59,2044.564646,FALSE
2016,Women,60,64,2163.057533,FALSE
2016,Women,65,69,2836.497173,FALSE
2016,Women,70,74,3279.598052,FALSE
2016,Women,75,79,3152.754753,FALSE
2016,Women,80,100,8726.921206,TRUE
2017,Men,0,4,12728.2286,FALSE
2017,Men,5,9,1249.457683,FALSE
2017,Men,10,14,969.5270687,FALSE
2017,Men,15,19,1529.254307,TRUE
2017,Men,20,24,2119.763079,TRUE
2017,Men,25,29,2477.362713,TRUE
2017,Men,30,34,3019.786817,TRUE
2017,Men,35,39,3655.836281,TRUE
2017,Men,40,44,3457.403156,TRUE
2017,Men,45,49,2918.300383,FALSE
2017,Men,50,54,2665.445144,FALSE
2017,Men,55,59,2759.286911,FALSE
2017,Men,60,64,2954.774122,FALSE
2017,Men,65,69,3184.092142,FALSE
2017,Men,70,74,3583.150932,FALSE
2017,Men,75,79,3201.734534,FALSE
2017,Men,80,100,5760.34458,TRUE
2017,Women,0,4,11211.28963,FALSE
2017,Women,5,9,1140.198484,FALSE
2017,Women,10,14,825.1578891,FALSE
2017,Women,15,19,1069.345731,TRUE
2017,Women,20,24,1405.767169,TRUE
2017,Women,25,29,1828.960754,TRUE
2017,Women,30,34,2225.660743,TRUE
2017,Women,35,39,2281.355022,TRUE
2017,Women,40,44,1832.027002,TRUE
2017,Women,45,49,1719.487576,FALSE
2017,Women,50,54,1956.513918,FALSE
2017,Women,55,59,2035.595717,FALSE
2017,Women,60,64,2120.266346,FALSE
2017,Women,65,69,2631.584838,FALSE
2017,Women,70,74,3228.767172,FALSE
2017,Women,75,79,3129.125252,FALSE
2017,Women,80,100,8647.182131,TRUE
2018,Men,0,4,12069.03437,FALSE
2018,Men,5,9,1196.092334,FALSE
2018,Men,10,14,962.3435323,FALSE
2018,Men,15,19,1551.368141,TRUE
2018,Men,20,24,2155.339676,TRUE
2018,Men,25,29,2519.850881,TRUE
2018,Men,30,34,3043.933157,TRUE
2018,Men,35,39,3780.056462,TRUE
2018,Men,40,44,3728.664756,TRUE
2018,Men,45,49,3178.447549,FALSE
2018,Men,50,54,2792.072343,FALSE
2018,Men,55,59,2837.328289,FALSE
2018,Men,60,64,3021.002822,FALSE
2018,Men,65,69,3142.292408,FALSE
2018,Men,70,74,3578.952679,FALSE
2018,Men,75,79,3224.324353,FALSE
2018,Men,80,100,5659.750781,TRUE
2018,Women,0,4,10672.07125,FALSE
2018,Women,5,9,1115.265588,FALSE
2018,Women,10,14,826.5958027,FALSE
2018,Women,15,19,1076.571336,TRUE
2018,Women,20,24,1411.409695,TRUE
2018,Women,25,29,1852.742999,TRUE
2018,Women,30,34,2286.906086,TRUE
2018,Women,35,39,2455.767876,TRUE
2018,Women,40,44,2016.741794,TRUE
2018,Women,45,49,1785.042536,FALSE
2018,Women,50,54,1990.785876,FALSE
2018,Women,55,59,2123.77685,FALSE
2018,Women,60,64,2170.088853,FALSE
2018,Women,65,69,2528.186463,FALSE
2018,Women,70,74,3198.353724,FALSE
2018,Women,75,79,3129.384632,FALSE
2018,Women,80,100,8598.095203,TRUE
