Region,Site,Type,Year,Prevalence,N,UseDataInFit
All,Census,RT,2011,0.084892791,255110,TRUE
All,Census,RT,2012,0.088161247,459170,TRUE
All,Census,RT,2013,0.080197756,498393,TRUE
All,Census,RT,2014,0.077100671,521500,TRUE
All,Census,RT,2015,0.077550785,571187,TRUE
All,Census,RT,2016,0.077399794,584123,TRUE
All,Census,RT,2017,0.076973457,477905,TRUE
All,Census,RT,2018,0.073765315,647635,TRUE
All,Census,RT,2019,0.06927022,622201,TRUE
All,Census,RT,2020,0.065833642,650321,TRUE
All,Census,RT,2021,0.063618094,617513,TRUE
All,Census,RT,2022,0.053987066,645136,TRUE
National,Balaka,SS,2007,0.174,524,TRUE
National,Balaka,SS,2010,0.13,500,TRUE
National,Balaka,RT,2013,0.1086,3203,TRUE
National,Balaka,RT,2014,0.1191,3090,TRUE
National,Balaka,RT,2015,0.1236,3365,TRUE
National,Balaka,RT,2016,0.1105,3492,TRUE
National,Balaka,RT,2017,0.1221,3472,TRUE
National,Balaka,RT,2018,0.1188,3753,TRUE
National,Balaka,RT,2019,0.1137,3456,TRUE
National,Balaka,RT,2020,0.1148,3275,TRUE
National,Balaka,RT,2021,0.0884,2637,TRUE
National,Balaka,RT,2022,0.0793,2887,TRUE
National,Blantyre Limbe HC,SS,1994,0.316,250,TRUE
National,Blantyre Limbe HC,SS,1995,0.33,400,TRUE
National,Blantyre Limbe HC,SS,1996,0.34,400,TRUE
National,Blantyre Limbe HC,SS,1997,0.303,617,TRUE
National,Blantyre Limbe HC,SS,1998,0.304,677,TRUE
National,Blantyre Limbe HC,SS,1999,0.279,681,TRUE
National,Blantyre Limbe HC,SS,2001,0.285,650,TRUE
National,Blantyre Limbe HC,SS,2003,0.276,804,TRUE
National,Blantyre Limbe HC,SS,2005,0.27,847,TRUE
National,Blantyre Limbe HC,SS,2007,0.24,887,TRUE
National,Blantyre Limbe HC,SS,2010,0.2062,805,TRUE
National,Blantyre Limbe HC,RT,2015,0.1444,3553,TRUE
National,Blantyre Limbe HC,RT,2016,0.1472,4390,TRUE
National,Blantyre Limbe HC,RT,2017,0.1395,5089,TRUE
National,Blantyre Limbe HC,RT,2018,0.1568,3865,TRUE
National,Blantyre Limbe HC,RT,2019,0.1704,3421,TRUE
National,Blantyre Limbe HC,RT,2020,0.1086,1611,TRUE
National,Blantyre Limbe HC,RT,2021,0.128,2890,TRUE
National,Blantyre Limbe HC,RT,2022,0.0993,3254,TRUE
National,Bolero HC,SS,2007,0.067,179,TRUE
National,Bolero HC,SS,2010,0.066,320,TRUE
National,Bolero HC,RT,2011,0.079,730,TRUE
National,Bolero HC,RT,2015,0.0427,1544,TRUE
National,Bolero HC,RT,2016,0.0481,1434,TRUE
National,Bolero HC,RT,2017,0.0578,1383,TRUE
National,Bolero HC,RT,2018,0.0559,1269,TRUE
National,Bolero HC,RT,2019,0.0545,1414,TRUE
National,Bolero HC,RT,2020,0.0395,1394,TRUE
National,Bolero HC,RT,2021,0.0431,1276,TRUE
National,Bolero HC,RT,2022,0.0409,1148,TRUE
National,Chikwawa,SS,2007,0.15,399,TRUE
National,Chikwawa,SS,2010,0.123,529,TRUE
National,Chikwawa,RT,2011,0.1292,1254,TRUE
National,Chikwawa,RT,2017,0.1241,2700,TRUE
National,Chikwawa,RT,2018,0.1101,2996,TRUE
National,Chikwawa,RT,2019,0.1408,2741,TRUE
National,Chikwawa,RT,2020,0.1201,2798,TRUE
National,Chikwawa,RT,2021,0.1081,2498,TRUE
National,Chikwawa,RT,2022,0.1023,2697,TRUE
National,Chilipa HC,SS,2007,0.125,296,TRUE
National,Chilipa HC,SS,2010,0.077,300,TRUE
National,Chilipa HC,RT,2011,0.0693,635,TRUE
National,Chilipa HC,RT,2013,0.0673,1308,TRUE
National,Chilipa HC,RT,2014,0.0688,1482,TRUE
