Indicator,Population,Gender,AgeMin,AgeMax,Value,NumTested,Year,UseDataInFit,Source,Notes
HIV prevalence,FSW,Female,15,19,0.231,258,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution.
HIV prevalence,FSW,Female,20,24,0.378,924,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution.
HIV prevalence,FSW,Female,25,29,0.547,900,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution.
HIV prevalence,FSW,Female,30,34,0.59,540,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution.
HIV prevalence,FSW,Female,35,49,0.682,481,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution. AgeMax of 49 assumed but not explicitly stated in the source.
HIV prevalence,FSW,Female,15,49,0.499,3103,2020,FALSE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution. AgeMax of 49 assumed but not explicitly stated in the source. Not used for fitting because overall estimate is not independent from age-specific estimates.
HIV prevalence,MSM,Male,15,19,0.035,200,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution.
HIV prevalence,MSM,Male,20,24,0.042,802,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution.
HIV prevalence,MSM,Male,25,29,0.131,471,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution.
HIV prevalence,MSM,Male,30,34,0.181,227,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution.
HIV prevalence,MSM,Male,35,49,0.415,256,2020,TRUE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution. AgeMax of 49 assumed but not explicitly stated in the source.
HIV prevalence,MSM,Male,15,49,0.128,1956,2020,FALSE,malawi2020ibbs,Number tested triangulated from overall sample size and age distribution. AgeMax of 49 assumed but not explicitly stated in the source. Not used for fitting because overall estimate is not independent from age-specific estimates.
HIV prevalence,FSW,Female,18,19,0.446,92,2013,TRUE,malawi2014ibbs,
HIV prevalence,FSW,Female,20,24,0.551,265,2013,TRUE,malawi2014ibbs,
HIV prevalence,FSW,Female,25,29,0.711,190,2013,TRUE,malawi2014ibbs,
HIV prevalence,FSW,Female,30,34,0.786,84,2013,TRUE,malawi2014ibbs,
HIV prevalence,FSW,Female,35,49,0.821,39,2013,TRUE,malawi2014ibbs,AgeMax of 49 assumed but not explicitly stated in the source.
HIV prevalence,FSW,Female,18,49,0.627,670,2013,FALSE,malawi2014ibbs,AgeMax of 49 assumed but not explicitly stated in the source. Not used for fitting because overall estimate is not independent from age-specific estimates.
HIV prevalence,All,Male,15,19,0.0041,464,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,20,24,0.0387,328,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,25,29,0.0981,372,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,30,34,0.2038,217,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,35,39,0.1842,146,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,40,44,0.1645,153,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,45,49,0.0948,121,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,50,54,0.1055,95,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Female,15,19,0.0369,457,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Female,20,24,0.1319,508,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Female,25,29,0.1554,447,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Female,30,34,0.1807,322,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Female,35,39,0.17,244,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Female,40,44,0.1789,174,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Female,45,49,0.1332,184,2004,TRUE,malawi2004dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,15,49,0.102,2465,2004,FALSE,malawi2004dhs,Values from DHS API. NumTested is DenominatorWeighted. Not used for fitting because  overall estimate is not independent from age-specific estimates.
HIV prevalence,All,Female,15,49,0.133,2686,2004,FALSE,malawi2004dhs,Values from DHS API. NumTested is DenominatorWeighted. Not used for fitting because  overall estimate is not independent from age-specific estimates.
HIV prevalence,All,All,15,49,0.118,5150,2004,FALSE,malawi2004dhs,Values from DHS API. NumTested is DenominatorWeighted. Not used for fitting because  overall estimate is not independent from age-specific estimates.
HIV prevalence,All,Male,15,19,0.0131,680,2010,TRUE,malawi2010dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,20,24,0.0279,564,2010,TRUE,malawi2010dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,25,29,0.0692,510,2010,TRUE,malawi2010dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,30,34,0.1068,453,2010,TRUE,malawi2010dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,35,39,0.1816,355,2010,TRUE,malawi2010dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,40,44,0.2078,253,2010,TRUE,malawi2010dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
HIV prevalence,All,Male,45,49,0.1498,299,2010,TRUE,malawi2010dhs,Number tested is adjusted for survey design. Extracted from Spectrum AMModData as provided by Jeff Eaton.
