Indicator,Population,Gender,AgeMin,AgeMax,Value,Lower,Upper,NumTested,Year,UseDataInFit,Source,Notes,City,Province
HIV prevalence,FSW,Women,16,49,0.674,0.623,0.721,584,2018,TRUE,anova2018SAHMS,"Survey in eThekwini, no max age",eThekwini,Kwazulu-Natal
HIV prevalence,FSW,Women,16,49,0.391,0.34,0.444,540,2018,TRUE,anova2018SAHMS,"Survey in Johannesburg, no max age",Johannesburg,Gauteng
HIV prevalence,MSM,Men,18,49,0.137,0.91,0.196,62,2012,TRUE,lane2014plosone,"Ehlanzeni - - RDS adjusted estimate, no max age",Ehlanzeni,Mpumalanga
HIV prevalence,FSW,Women,18,49,0.85,0.81,0.88,431,2019,TRUE,milovanovic2021globhealthaction,Kwazulu-Natal,Kwazulu-Natal,Kwazulu-Natal
HIV prevalence,FSW,Women,20,49,0.78,0.69,0.86,101,2001,TRUE,ndhlovu2005popcouncil,Careltonville only; no max age. Study does have age specific prevalences but no sample sizes (and must be read off a graph),Careltonville,Gauteng
HIV prevalence,FSW,Women,15,49,0.751,0.69,0.8,249,2014,TRUE,black2016bmjsextransinf,"No access to full study, but from Oli's sheet Johannesberg only with no clear age range",Johannesburg,Gauteng
HIV prevalence,FSW,Women,18,49,0.732,0.66,0.79,190,2019,TRUE,milovanovic2021globhealthaction,Free State,Free State,Free State
HIV prevalence,FSW,Women,18,49,0.704,0.65,0.76,267,2019,TRUE,milovanovic2021globhealthaction,Mpumalanga,Mpumalanga,Mpumalanga
HIV prevalence,FSW,Women,18,49,0.7,0.64,0.75,272,2019,TRUE,milovanovic2021globhealthaction,North-West,North-West,North-West
HIV prevalence,FSW,Women,15,49,0.67,0.62,0.72,349,2012,TRUE,greener2014aids,Value taken from an abstract; Durban only; no age reported,Durban,Kwazulu-Natal
HIV prevalence,FSW,Women,18,49,0.651,0.62,0.68,865,2019,TRUE,milovanovic2021globhealthaction,Gauteng,gauteng,gauteng
HIV prevalence,FSW,Women,20,49,0.69,0.6,0.77,121,1998,TRUE,ndhlovu2005popcouncil,Careltonville only; no max age. Study does have age specific prevalences but no sample sizes (and must be read off a graph),Careltonville,Gauteng
HIV prevalence,FSW,Women,15,59,0.686,0.59,0.77,118,1998,TRUE,williams2000council,Khutsong only: Note that this study does have age-specific n and prevalence but the sample sizes are extremely low (example n = 1),Khutsong,Gauteng
HIV prevalence,FSW,Women,18,49,0.651,0.59,0.71,261,2019,TRUE,milovanovic2021globhealthaction,Eastern Cape,Eastern Cape,Eastern Cape
